action_rule_code,filter_action,action
10000000000000000,Deleted the message,deleted
01000000000000000,Quarantined the message,quarantined
00100000000000000,Delivered the message,delivered
00010000000000000,Archived the message,
00001000000000000,Changed the recipient,
00000100000000000,Stamped the message body,
00000010000000000,Deleted the attachment,
00000001000000000,Tagged the message subject,
00000000100000000,Postponed delivery of the message,
00000000010000000,Sent notification,
00000000001000000,Cleaned the virus,
00000000000100000,Added BCC recipient,
00000000000010000,Sent the message to Hand-off server,
00000000000001000,Insert X-Header,
00100010000000000,Delivered the message and deleted the attachment,delivered
00110000000000000,Delivered the message,archived
01000000001000000,Quarantined the message and sent notification,quarantined
10000000001000000,Deleted the message and sent notification,deleted
